,frame_idx,x,y,width,height,is_bball
81,302,48,473.0,53,71,False
82,302,96,396.0,15,15,False
83,302,76,317.0,28,12,False
84,303,60,510.0,30,34,False
85,304,82,513.0,15,23,False
86,305,92,516.0,16,28,False
87,305,67,366.0,33,19,False
88,305,86,310.0,27,35,False
89,306,94,485.0,42,59,False
90,306,72,365.0,30,20,False
91,306,87,319.0,30,28,False
92,307,107,527.0,17,17,False
93,307,79,351.0,25,28,False
94,307,91,318.0,23,30,False
95,308,100,482.0,8,21,False
96,308,73,462.0,26,28,False
97,308,82,351.0,24,26,False
98,308,90,321.0,33,28,False
99,309,75,463.0,38,41,False
100,309,82,354.0,27,33,False
101,309,94,323.0,30,28,False
102,310,109,483.0,9,20,False
103,310,82,465.0,26,27,False
104,310,123,384.0,8,26,False
105,310,88,357.0,25,34,False
106,310,105,324.0,23,28,False
107,311,39,532.0,16,12,False
108,311,58,512.0,12,18,False
109,311,86,466.0,36,37,False
110,311,97,371.0,19,12,False
111,311,108,325.0,25,21,False
112,312,47,497.0,42,47,False
113,312,88,465.0,30,32,False
114,312,98,373.0,22,10,False
115,312,112,326.0,21,16,False
116,313,50,468.0,72,76,False
117,313,100,373.0,25,14,False
118,314,57,473.0,57,71,False
119,314,110,374.0,18,13,False
120,315,66,479.0,54,65,False
121,315,143,387.0,13,18,False
122,315,122,327.0,23,27,False
123,316,75,477.0,45,67,False
124,316,148,385.0,28,20,False
125,316,110,374.0,24,9,False
126,316,122,327.0,28,27,False
127,317,84,484.0,37,60,False
128,317,168,373.0,14,20,False
129,317,123,326.0,29,27,False
130,318,92,485.0,35,59,False
131,318,134,325.0,22,15,False
132,319,100,508.0,22,36,False
133,319,133,328.0,20,11,False
134,320,135,325.0,11,17,False
135,321,131,520.0,17,24,False
136,321,153,371.0,19,19,False
137,321,139,329.0,28,12,False
138,322,139,503.0,23,41,False
139,322,148,375.0,24,19,False
140,322,141,329.0,28,12,False
141,323,146,497.0,15,37,False
142,323,150,378.0,24,19,False
143,324,150,505.0,20,29,False
144,324,148,378.0,29,26,False
145,324,149,322.0,28,19,False
146,325,150,490.0,28,54,False
147,325,138,376.0,71,49,False
148,325,154,324.0,27,48,False
149,326,153,487.0,28,57,False
150,326,158,379.0,55,62,False
151,326,139,376.0,16,10,False
152,326,156,329.0,27,15,False
153,327,153,484.0,17,16,False
154,327,144,378.0,71,84,False
155,327,160,325.0,31,21,False
156,328,157,477.0,61,34,False
157,328,166,434.0,18,13,False
158,328,147,375.0,35,33,False
159,328,163,333.0,11,13,False
160,329,185,504.0,35,32,False
161,330,189,503.0,32,41,False
162,330,172,440.0,16,11,False
163,331,189,500.0,33,33,False
164,331,179,434.0,11,15,False
165,332,119,532.0,13,12,False
166,332,190,482.0,33,33,False
167,332,175,416.0,19,29,False
168,333,121,526.0,16,18,False
169,333,192,466.0,32,32,False
170,333,175,413.0,23,29,False
171,334,125,525.0,11,19,False
172,334,191,451.0,34,31,False
173,334,175,410.0,28,27,False
174,335,174,406.0,52,62,False
175,336,170,401.0,56,55,False
176,337,169,395.0,58,49,False
177,338,168,392.0,59,41,False
178,339,180,390.0,41,16,False
179,340,180,387.0,27,13,False
180,341,184,383.0,24,13,False
181,345,189,383.0,19,12,False
182,346,183,387.0,26,11,False
183,347,188,390.0,17,11,False
184,351,190,391.0,17,10,False
185,352,179,388.0,29,12,False
186,353,178,384.0,39,15,False
187,354,185,381.0,39,15,False
188,355,189,377.0,19,12,False
189,358,180,379.0,26,13,False
190,359,178,383.0,29,14,False
191,360,176,389.0,31,14,False
192,361,178,394.0,62,34,False
193,362,189,403.0,55,46,False
194,363,213,440.0,33,33,False
195,363,196,410.0,14,28,False
196,363,173,376.0,15,25,False
197,364,215,465.0,33,34,False
198,364,190,429.0,14,12,False
199,364,175,379.0,10,21,False
200,365,216,492.0,34,34,False
201,365,192,431.0,14,14,False
202,366,218,506.0,33,38,False
203,366,197,420.0,12,27,False
204,367,218,506.0,34,38,False
205,367,196,412.0,18,33,False
206,368,219,488.0,33,33,False
207,368,198,412.0,20,31,False
208,369,219,471.0,33,32,False
209,369,202,409.0,21,31,False
210,370,219,454.0,34,33,False
211,370,201,406.0,28,29,False
212,371,202,400.0,51,70,False
213,372,156,531.0,17,13,False
214,372,197,396.0,56,61,False
215,373,160,522.0,23,22,False
216,373,197,393.0,56,52,False
217,374,166,524.0,21,20,False
218,374,196,390.0,56,43,False
219,375,171,525.0,21,19,False
220,375,196,388.0,56,27,False
221,376,176,525.0,21,19,False
222,382,199,381.0,22,17,False
223,383,200,384.0,30,16,False
224,384,201,387.0,30,16,False
225,385,196,384.0,38,22,False
226,386,215,400.0,20,11,False
227,392,196,382.0,19,11,False
228,400,226,400.0,51,31,False
229,401,225,398.0,58,36,False
230,402,215,392.0,75,34,False
231,403,219,385.0,73,29,False
232,404,223,370.0,73,39,False
233,405,227,356.0,64,49,False
234,406,231,344.0,54,55,False
235,407,235,336.0,50,58,False
236,408,241,369.0,20,18,False
237,408,248,328.0,29,35,True
238,409,241,366.0,14,15,False
239,409,259,340.0,18,15,False
240,409,243,323.0,16,13,False
241,410,238,363.0,16,19,False
242,410,256,341.0,17,12,False
243,410,239,317.0,19,15,False
244,411,224,312.0,42,67,False
245,412,211,307.0,49,69,False
246,413,211,486.0,23,21,False
247,413,214,303.0,54,64,False
248,414,186,528.0,25,16,False
249,414,212,459.0,25,16,False
250,414,211,293.0,59,73,False
251,415,196,518.0,28,26,False
252,415,214,254.0,75,99,False
253,416,198,517.0,27,27,False
254,416,213,326.0,24,7,False
255,416,277,233.0,30,29,True
256,417,293,214.0,30,28,True
257,418,309,196.0,30,29,True
258,419,325,180.0,30,29,True
259,420,341,163.0,28,31,True
260,421,207,523.0,22,21,False
261,421,214,303.0,38,29,False
262,421,357,150.0,28,28,True
263,422,207,521.0,27,23,False
264,422,214,307.0,39,33,False
265,422,371,139.0,29,28,True
266,423,201,525.0,16,19,False
267,423,214,312.0,39,35,False
268,423,273,292.0,19,10,False
269,423,387,127.0,27,30,True
270,424,275,297.0,19,9,False
271,424,402,117.0,28,26,True
272,425,417,108.0,28,29,True
273,426,432,100.0,26,15,True
274,427,447,94.0,27,19,True
275,428,461,88.0,28,28,True
276,429,475,85.0,27,17,True
277,430,249,337.0,21,15,False
278,430,491,82.0,26,17,True
279,431,248,338.0,23,17,False
280,431,506,80.0,26,28,True
281,432,250,341.0,10,17,False
282,432,522,79.0,25,16,True
283,433,245,347.0,26,21,False
284,433,540,80.0,22,29,True
285,434,242,323.0,40,49,False
286,434,552,81.0,24,17,True
287,435,238,335.0,48,46,False
288,435,565,85.0,22,14,True
289,436,232,344.0,53,48,False
290,436,590,90.0,12,17,True
291,437,228,362.0,60,37,False
292,437,593,95.0,23,25,True
293,438,225,379.0,62,31,False
294,438,610,102.0,24,24,True
295,439,230,395.0,43,49,False
296,439,624,112.0,20,25,True
297,440,227,379.0,35,72,False
298,440,639,117.0,25,27,True
299,441,213,382.0,25,69,False
300,441,654,127.0,25,27,True
301,442,196,379.0,37,71,False
302,442,669,138.0,28,29,True
303,443,186,373.0,41,71,False
304,443,698,163.0,28,30,True
305,444,177,404.0,26,36,False
306,444,700,160.0,30,37,True
307,447,192,401.0,17,27,False
308,448,181,403.0,34,33,False
309,449,185,400.0,35,42,False
310,450,207,525.0,29,19,False
311,450,194,379.0,42,68,False
312,451,211,523.0,22,21,False
313,451,209,379.0,30,71,False
314,452,218,516.0,25,28,False
315,452,223,381.0,19,73,False
316,453,231,516.0,32,28,False
317,453,225,383.0,28,71,False
318,453,742,162.0,17,11,False
319,454,242,516.0,30,28,False
320,454,230,382.0,37,71,False
321,455,247,516.0,19,28,False
322,455,231,384.0,46,63,False
323,456,258,514.0,32,30,False
324,456,233,362.0,59,83,False
325,457,267,512.0,30,32,False
326,457,235,336.0,62,95,False
327,458,272,512.0,19,24,False
328,458,240,337.0,68,91,False
329,458,729,180.0,24,35,False
330,459,300,528.0,20,16,False
331,459,278,512.0,19,23,False
332,459,283,405.0,33,16,False
333,459,254,388.0,24,16,False
334,459,257,338.0,28,18,False
335,460,283,515.0,42,29,False
336,460,271,479.0,11,20,False
337,460,248,386.0,33,19,False
338,460,260,339.0,29,25,False
339,460,726,193.0,17,12,False
340,461,288,515.0,40,29,False
341,461,275,480.0,12,20,False
342,461,263,389.0,23,16,False
343,461,262,338.0,35,23,False
344,462,230,470.0,41,40,False
345,462,283,461.0,22,75,False
346,462,263,389.0,28,17,False
347,462,269,338.0,33,22,False
348,462,724,202.0,20,12,False
349,465,298,482.0,9,19,False
350,465,204,471.0,83,73,False
351,465,274,341.0,63,73,False
352,466,213,472.0,79,72,False
353,466,280,383.0,62,33,False
354,466,291,340.0,35,32,False
355,467,224,470.0,87,74,False
356,467,333,408.0,17,15,False
357,467,288,340.0,41,76,False
358,467,714,216.0,16,16,False
359,468,234,469.0,68,75,False
360,468,330,417.0,23,17,False
361,468,293,335.0,46,81,False
362,468,718,226.0,19,13,False
363,469,247,465.0,57,79,False
364,469,295,337.0,53,107,False
365,469,710,232.0,25,23,False
366,470,260,487.0,44,57,False
367,470,304,381.0,39,47,False
368,470,320,327.0,30,27,False
369,470,709,239.0,24,27,False
370,471,274,494.0,32,50,False
371,471,326,459.0,11,36,False
372,471,309,381.0,38,66,False
373,471,325,325.0,32,39,False
374,471,712,251.0,23,31,False
375,472,317,378.0,40,166,False
376,472,341,325.0,28,39,False
377,472,711,279.0,26,26,False
378,473,326,379.0,40,165,False
379,473,348,335.0,29,20,False
380,473,716,299.0,25,19,False
381,474,335,331.0,51,213,False
382,474,711,308.0,26,28,False
383,475,341,332.0,61,212,False
384,475,711,323.0,31,29,False
385,476,335,382.0,78,162,False
386,476,712,344.0,32,30,False
387,476,364,335.0,36,38,False
388,477,333,484.0,14,15,False
389,477,355,380.0,73,164,False
390,477,713,363.0,30,29,False
391,477,379,337.0,30,39,False
392,478,330,386.0,77,144,False
393,478,386,346.0,31,31,False
394,479,719,407.0,27,21,False
395,479,301,345.0,124,199,False
396,480,720,431.0,29,32,False
397,480,307,349.0,126,195,False
398,481,720,457.0,31,33,False
399,481,319,344.0,122,200,False
400,482,721,487.0,32,27,False
401,482,332,352.0,110,192,False
402,483,721,500.0,32,44,False
403,483,348,352.0,102,192,False
404,484,722,500.0,33,27,False
405,484,365,340.0,99,204,False
406,485,723,481.0,32,30,False
407,485,384,381.0,81,163,False
408,485,438,337.0,33,67,False
409,486,402,512.0,21,32,False
410,486,724,462.0,32,29,False
411,486,420,332.0,60,178,False
412,487,725,446.0,32,28,False
413,487,405,334.0,87,210,False
414,488,408,514.0,26,30,False
415,488,441,453.0,44,91,False
416,488,727,431.0,30,28,False
417,488,435,335.0,65,93,False
418,489,414,504.0,28,40,False
419,489,443,451.0,65,93,False
420,489,729,417.0,30,18,False
421,489,446,325.0,61,99,False
422,490,419,450.0,107,94,False
423,490,729,404.0,30,24,False
424,490,454,363.0,59,58,False
425,490,480,319.0,31,62,False
426,491,426,453.0,115,91,False
427,491,732,393.0,27,28,False
428,491,463,369.0,55,52,False
429,491,486,329.0,34,31,False
430,492,435,456.0,92,88,False
431,492,737,383.0,20,22,False
432,492,471,321.0,55,101,False
433,493,446,457.0,85,87,False
434,493,737,375.0,25,23,False
435,493,484,323.0,50,101,False
436,494,459,458.0,84,86,False
437,494,737,367.0,28,18,False
438,494,495,326.0,49,102,False
439,495,472,478.0,64,66,False
440,495,740,361.0,28,17,False
441,495,508,336.0,43,97,False
442,496,489,485.0,42,59,False
443,496,744,356.0,26,17,False
444,496,514,329.0,50,104,False
445,497,515,498.0,16,46,False
446,497,556,464.0,8,21,False
447,497,528,324.0,48,105,False
448,498,548,492.0,14,16,False
449,498,559,457.0,15,26,False
450,498,529,321.0,55,111,False
451,499,518,319.0,73,225,False
452,500,522,519.0,30,25,False
453,500,541,315.0,62,229,False
454,501,528,433.0,97,111,False
455,501,554,326.0,55,91,False
456,502,531,449.0,111,95,False
457,502,600,401.0,12,17,False
458,502,561,365.0,48,30,False
459,502,754,356.0,23,20,False
460,502,578,327.0,29,24,False
461,503,537,433.0,123,111,False
462,503,610,405.0,14,26,False
463,503,757,361.0,26,20,False
464,503,569,357.0,53,73,False
465,503,587,329.0,27,22,False
466,504,544,407.0,97,137,False
467,504,767,372.0,16,15,False
468,504,577,364.0,47,36,False
469,504,594,333.0,29,16,False
470,505,553,410.0,99,134,False
471,505,769,379.0,15,18,False
472,505,586,334.0,45,75,False
473,506,566,459.0,89,85,False
474,506,778,389.0,20,25,False
475,506,596,329.0,51,102,False
476,507,581,457.0,78,87,False
477,507,778,400.0,25,25,False
478,507,605,367.0,45,60,False
479,507,619,336.0,23,15,False
480,508,596,443.0,63,82,False
481,508,777,410.0,29,23,False
482,508,614,374.0,49,51,False
483,508,626,334.0,27,27,False
484,509,612,458.0,60,86,False
485,509,782,424.0,29,32,False
486,509,621,327.0,44,99,False
487,510,630,521.0,30,23,False
488,510,649,455.0,32,60,False
489,510,784,441.0,31,23,False
490,510,627,326.0,49,120,False
491,511,786,457.0,34,21,False
492,511,632,456.0,56,88,False
493,511,633,324.0,53,131,False
494,512,633,531.0,18,13,False
495,512,793,476.0,31,31,False
496,512,671,472.0,34,72,False
497,512,638,324.0,58,131,False
498,513,635,529.0,17,15,False
499,513,797,496.0,33,31,False
500,513,684,471.0,33,73,False
501,513,656,454.0,19,9,False
502,513,646,322.0,62,131,False
503,514,799,501.0,34,43,False
504,514,653,480.0,21,33,False
505,514,644,324.0,76,206,False
506,515,799,502.0,34,26,False
507,515,654,449.0,92,95,False
508,515,720,402.0,11,18,False
509,515,649,362.0,16,24,False
510,515,659,323.0,52,107,False
511,516,799,488.0,34,29,False
512,516,653,456.0,117,88,False
513,516,656,322.0,66,119,False
514,517,646,524.0,10,20,False
515,517,718,475.0,62,69,False
516,517,800,474.0,32,33,False
517,517,655,457.0,54,62,False
518,517,700,405.0,18,39,False
519,517,664,359.0,14,29,False
520,517,677,323.0,44,63,False
521,518,800,463.0,31,19,False
522,518,644,456.0,129,88,False
523,518,737,387.0,19,15,False
524,518,672,358.0,13,59,False
525,518,686,322.0,47,65,False
526,519,746,500.0,48,44,False
527,519,647,466.0,65,78,False
528,519,800,452.0,32,21,False
529,519,721,442.0,33,53,False
530,519,680,378.0,13,40,False
531,519,714,376.0,24,14,False
532,519,691,323.0,30,45,False
533,520,745,477.0,19,44,False
534,520,656,472.0,71,72,False
535,520,801,444.0,31,19,False
536,520,721,415.0,11,17,False
537,520,687,331.0,47,110,False
538,521,659,485.0,68,59,False
539,521,755,479.0,14,15,False
540,521,801,434.0,30,21,False
541,521,690,386.0,19,52,False
542,521,708,335.0,33,40,False
543,522,664,504.0,63,40,False
544,522,802,432.0,27,17,False
545,522,735,411.0,11,33,False
546,522,703,393.0,12,16,False
547,522,715,339.0,34,28,False
548,523,669,504.0,38,31,False
549,523,710,394.0,10,18,False
550,523,721,340.0,35,28,False
551,524,678,507.0,28,15,False
552,524,778,401.0,41,24,False
553,524,729,345.0,33,31,False
554,525,770,400.0,49,25,False
555,525,733,345.0,35,33,False
556,526,761,409.0,71,40,False
557,526,737,352.0,13,15,False
558,527,777,418.0,52,46,False
559,528,783,438.0,40,47,False
560,529,786,488.0,29,24,False
561,529,764,418.0,11,28,False
562,530,775,505.0,24,22,False
563,531,771,490.0,18,22,False
564,533,735,342.0,34,17,False
565,534,735,342.0,31,17,False
566,535,729,336.0,33,28,False
567,536,706,386.0,24,21,False
568,536,721,337.0,32,43,False
569,537,674,514.0,13,30,False
570,537,698,408.0,5,27,False
571,537,706,387.0,16,11,False
572,537,717,338.0,34,38,False
573,538,668,508.0,28,36,False
574,538,693,408.0,8,29,False
575,538,700,383.0,20,15,False
576,538,711,333.0,33,53,False
577,539,664,507.0,28,37,False
578,539,748,476.0,12,35,False
579,539,723,406.0,12,50,False
580,539,693,382.0,25,21,False
581,539,704,331.0,33,49,False
582,540,659,474.0,55,70,False
583,540,737,462.0,26,57,False
584,540,716,405.0,18,52,False
585,540,687,330.0,40,93,False
586,541,654,526.0,27,18,False
587,541,671,472.0,41,53,False
588,541,723,459.0,69,85,False
589,541,676,330.0,49,117,False
590,542,738,510.0,45,34,False
591,542,675,499.0,27,13,False
592,542,721,478.0,17,30,False
593,542,676,324.0,38,99,False
594,543,733,510.0,42,34,False
595,543,672,500.0,23,7,False
596,543,719,481.0,14,23,False
597,543,710,416.0,25,41,False
598,543,671,329.0,41,94,False
599,544,711,482.0,43,62,False
600,544,666,376.0,71,55,False
601,544,673,325.0,34,40,False
602,545,678,491.0,14,13,False
603,545,706,483.0,53,61,False
604,545,661,376.0,69,48,False
605,545,667,325.0,32,40,False
606,546,679,472.0,54,72,False
607,546,693,396.0,32,44,False
608,546,657,325.0,39,69,False
609,547,673,468.0,61,76,False
610,547,650,365.0,77,76,False
611,547,658,324.0,28,29,False
612,548,672,480.0,48,64,False
613,548,649,365.0,62,77,False
614,548,656,335.0,19,22,False
615,549,665,482.0,36,62,False
616,549,675,430.0,14,13,False
617,549,645,364.0,75,39,False
618,549,653,335.0,13,16,False
619,550,650,500.0,35,44,False
620,550,670,429.0,23,37,False
621,550,642,324.0,57,74,False
622,551,636,488.0,36,56,False
623,551,666,429.0,21,39,False
624,551,638,362.0,60,35,False
625,551,650,325.0,23,17,False
626,552,623,488.0,34,56,False
627,552,661,430.0,19,30,False
628,552,634,355.0,69,41,False
629,552,644,326.0,25,20,False
630,553,612,491.0,44,53,False
631,553,646,430.0,29,44,False
632,553,627,325.0,70,73,False
633,554,600,447.0,60,97,False
634,554,626,407.0,10,37,False
635,554,623,326.0,67,67,False
636,555,592,507.0,36,37,False
637,555,639,459.0,23,33,False
638,555,633,448.0,18,10,False
639,555,619,363.0,63,55,False
640,555,628,325.0,31,27,False
641,556,584,510.0,35,34,False
642,556,635,458.0,36,35,False
643,556,625,448.0,23,12,False
644,556,611,359.0,65,70,False
645,556,627,321.0,24,30,False
646,557,579,448.0,87,96,False
647,557,608,365.0,69,64,False
648,557,621,321.0,22,34,False
649,558,599,327.0,65,217,False
650,559,642,511.0,21,33,False
651,559,594,339.0,60,170,False
652,560,612,482.0,66,62,False
653,560,587,361.0,50,107,False
654,561,603,454.0,63,90,False
655,561,579,364.0,52,87,False
656,562,595,481.0,56,63,False
657,562,575,365.0,50,97,False
658,562,592,325.0,25,22,False
659,563,593,458.0,39,86,False
660,563,568,375.0,21,88,False
661,563,597,371.0,22,40,False
662,563,582,324.0,30,32,False
663,564,559,374.0,55,170,False
664,564,592,370.0,21,48,False
665,564,580,324.0,27,31,False
666,565,594,397.0,13,21,False
667,565,548,373.0,57,105,False
668,565,574,323.0,28,31,False
669,566,549,506.0,24,38,False
670,566,591,395.0,11,17,False
671,566,543,373.0,57,104,False
672,566,569,325.0,28,51,False
673,567,535,488.0,34,56,False
674,567,530,373.0,66,86,False
675,567,562,327.0,29,49,False
676,568,523,485.0,43,59,False
677,568,527,327.0,65,132,False
678,569,511,483.0,53,61,False
679,569,576,441.0,11,18,False
680,569,520,318.0,67,112,False
681,570,501,464.0,68,80,False
682,570,513,320.0,70,139,False
683,571,495,466.0,77,78,False
684,571,561,438.0,15,23,False
685,571,511,320.0,68,102,False
686,572,485,466.0,86,78,False
687,572,502,322.0,73,98,False
688,573,564,519.0,15,12,False
689,573,495,467.0,72,64,False
690,573,497,322.0,74,110,False
691,574,558,517.0,36,27,False
692,574,511,468.0,52,45,False
693,574,491,326.0,78,98,False
694,575,510,468.0,63,76,False
695,575,532,401.0,32,23,False
696,575,486,325.0,64,67,False
697,576,500,465.0,89,79,False
698,576,523,398.0,34,24,False
699,576,529,341.0,17,17,False
700,576,481,339.0,23,49,False
701,577,505,480.0,52,64,False
702,577,519,398.0,33,25,False
703,577,480,335.0,24,50,False
704,578,498,456.0,63,88,False
705,578,516,400.0,29,22,False
706,579,490,461.0,38,83,False
707,579,515,400.0,24,19,False
708,580,486,453.0,34,91,False
709,580,504,400.0,26,17,False
710,580,493,325.0,32,12,False
711,581,472,530.0,22,14,False
712,581,491,452.0,21,14,False
713,581,507,401.0,15,14,False
714,581,497,363.0,14,19,False
715,581,489,322.0,28,37,False
716,582,459,490.0,28,54,False
717,582,485,452.0,26,27,False
718,582,465,323.0,60,56,False
719,583,443,488.0,39,56,False
720,583,479,453.0,23,26,False
721,583,461,320.0,64,65,False
722,584,419,490.0,58,54,False
723,584,493,469.0,7,25,False
724,584,456,321.0,69,92,False
725,585,417,490.0,61,54,False
726,585,449,323.0,78,91,False
727,586,406,465.0,89,79,False
728,586,444,325.0,82,89,False
729,587,429,463.0,63,81,False
730,587,432,324.0,87,133,False
731,588,421,448.0,93,96,False
732,588,427,332.0,49,104,False
733,589,420,463.0,90,81,False
734,589,419,332.0,51,108,False
735,590,413,460.0,92,84,False
736,590,415,336.0,43,108,False
737,591,421,463.0,78,81,False
738,591,408,378.0,45,69,False
739,591,421,332.0,41,30,False
740,592,402,377.0,94,167,False
741,592,420,333.0,34,29,False
742,593,457,485.0,34,34,False
743,593,395,375.0,48,169,False
744,593,415,324.0,33,67,False
745,594,454,466.0,31,35,False
746,594,410,460.0,27,84,False
747,594,388,374.0,24,71,False
748,594,410,324.0,32,99,False
749,595,410,448.0,70,62,False
750,595,420,401.0,9,22,False
751,595,382,374.0,20,70,False
752,595,404,323.0,34,37,False
753,596,373,519.0,22,25,False
754,596,408,446.0,16,54,False
755,596,444,435.0,34,34,False
756,596,373,375.0,20,68,False
757,596,399,324.0,31,103,False
758,597,360,504.0,32,40,False
759,597,438,423.0,32,34,False
760,597,417,396.0,14,12,False
761,597,368,376.0,18,66,False
762,597,394,325.0,31,67,False
763,598,345,503.0,46,41,False
764,598,357,414.0,19,29,False
765,598,435,412.0,30,34,False
766,598,367,378.0,13,20,False
767,598,398,377.0,31,35,False
768,598,388,335.0,31,27,False
769,599,336,504.0,54,40,False
770,599,432,403.0,29,28,False
771,599,392,378.0,35,34,False
772,599,350,378.0,24,69,False
773,599,382,326.0,31,37,False
774,600,327,500.0,63,44,False
775,600,426,393.0,29,30,False
776,600,344,380.0,25,63,False
777,600,370,325.0,55,89,False
778,601,314,482.0,74,62,False
779,601,338,381.0,25,62,False
780,601,369,326.0,33,63,False
781,602,308,464.0,77,80,False
782,602,333,370.0,23,74,False
783,602,365,327.0,58,69,False
784,603,385,526.0,14,18,False
785,603,330,472.0,51,51,False
786,603,329,385.0,22,67,False
787,603,360,330.0,59,63,False
788,604,379,520.0,48,24,False
789,604,336,465.0,44,49,False
790,604,325,387.0,19,68,False
791,604,372,378.0,33,18,False
792,604,354,332.0,32,35,False
793,605,372,519.0,24,25,False
794,605,342,473.0,27,40,False
795,605,355,437.0,18,41,False
796,605,321,376.0,18,68,False
797,605,411,362.0,16,29,False
798,605,350,333.0,27,35,False
799,606,356,496.0,36,48,False
800,606,349,452.0,17,20,False
801,606,316,386.0,18,52,False
802,606,361,376.0,23,35,False
803,606,402,365.0,24,26,False
804,606,345,332.0,21,37,False
805,607,349,491.0,38,53,False
806,607,311,386.0,18,52,False
807,607,362,370.0,63,38,False
808,607,338,332.0,25,36,False
809,608,340,489.0,29,55,False
810,608,357,374.0,66,42,False
811,608,308,361.0,16,73,False
812,608,337,330.0,28,37,False
813,609,332,490.0,34,54,False
814,609,353,380.0,65,49,False
815,609,303,330.0,59,96,False
816,610,324,482.0,21,62,False
817,610,348,385.0,65,58,False
818,610,299,335.0,48,86,False
819,611,309,514.0,22,30,False
820,611,316,457.0,32,18,False
821,611,342,386.0,61,76,False
822,611,296,369.0,16,54,False
823,611,322,333.0,21,26,False
824,612,293,502.0,23,42,False
825,612,310,457.0,29,14,False
826,612,361,451.0,31,33,False
827,612,338,392.0,31,46,False
828,612,291,374.0,19,68,False
829,612,316,331.0,20,29,False
830,613,277,498.0,34,46,False
831,613,349,475.0,31,33,False
832,613,310,456.0,27,16,False
833,613,327,392.0,26,60,False
834,613,287,378.0,20,58,False
835,613,314,328.0,35,31,False
836,614,337,499.0,32,34,False
837,614,263,492.0,47,52,False
838,614,299,398.0,41,68,False
839,614,284,379.0,19,54,False
840,615,326,509.0,32,35,False
841,615,251,457.0,66,87,False
842,615,321,414.0,6,26,False
843,615,280,371.0,21,72,False
844,615,311,333.0,23,15,False
845,616,230,458.0,113,86,False
846,616,305,384.0,13,29,False
847,616,277,383.0,26,67,False
848,617,303,533.0,13,11,False
849,617,230,521.0,28,23,False
850,617,281,469.0,56,57,False
851,617,269,454.0,17,16,False
852,617,301,394.0,10,18,False
853,618,299,529.0,16,15,False
854,618,259,457.0,70,42,False
855,618,269,385.0,35,56,False
856,619,257,453.0,66,91,False
857,619,260,380.0,39,53,False
858,620,269,441.0,49,103,False
859,620,257,379.0,36,35,False
860,621,267,469.0,40,75,False
861,621,292,438.0,20,18,False
862,621,251,372.0,37,64,False
863,622,263,484.0,35,60,False
864,622,245,382.0,59,67,False
865,623,260,469.0,29,75,False
866,623,245,370.0,43,68,False
867,624,250,467.0,23,77,False
868,624,241,359.0,43,74,False
869,624,271,329.0,24,23,False
870,625,244,467.0,26,77,False
871,625,237,379.0,47,66,False
